dataset_id,source,domain,outcome_measure,n_studies,year_median,year_range,I2,tau2,Q,pooled_effect,ci_width,total_n,reference,studies_per_year,avg_n_per_study,log_total_n,sqrt_k,I2_category
Cochrane_Aspirin_MI_2016,cochrane,cardiology,OR,16,2010,15,34.0,0.08,22.73,0.75,0.16,18542,Baigent et al. Lancet 2009,1.0666666666666667,1158.875,9.827793708166928,4.0,moderate
Cochrane_Statins_CVD_2018,cochrane,cardiology,RR,28,2012,20,42.0,0.012,46.55,0.73,0.11,165432,Taylor et al. Cochrane 2018,1.4,5908.285714285715,12.016315513233597,5.291502622129181,moderate
Cochrane_CBT_Depression_2017,cochrane,psychology,SMD,22,2013,12,68.0,0.21,65.63,-0.62,0.24,2542,Cuijpers et al. Cochrane 2017,1.8333333333333333,115.54545454545455,7.8407064517494,4.69041575982343,substantial
Cochrane_Exercise_Diabetes_2019,cochrane,endocrinology,MD,14,2015,10,78.0,1.24,59.09,-0.73,0.38,1893,Umpierre et al. Cochrane 2019,1.4,135.21428571428572,7.545918151209323,3.7416573867739413,high
Cochrane_Antibiotics_Pneumonia_2015,cochrane,infectious_disease,OR,9,2008,18,15.0,0.02,9.41,0.42,0.22,4826,Haider et al. Cochrane 2015,0.5,536.2222222222222,8.481773246184977,3.0,low
BMJ_Antidepressants_2018,bmj,psychiatry,OR,21,2014,8,72.0,0.19,71.43,2.13,0.45,7345,Cipriani et al. BMJ 2018,2.625,349.76190476190476,8.901775088607979,4.58257569495584,substantial
BMJ_Vitamin_D_Fractures_2020,bmj,endocrinology,RR,11,2016,7,28.0,0.03,13.89,0.95,0.14,12534,Bolland et al. BMJ 2020,1.5714285714285714,1139.4545454545455,9.436200230784621,3.3166247903554,moderate
NEJM_Beta_Blockers_2019,nejm,cardiology,HR,19,2011,14,38.0,0.09,29.03,0.76,0.13,23782,Bangalore et al. NEJM 2019,1.3571428571428572,1251.6842105263158,10.076684270997523,4.358898943540674,moderate
Generated_0001,generated,infectious_disease,HR,16,2011,3,0.71,0.0122,14.58,1.624,0.036,44913,Generated from learned patterns,5.333333333333333,2807.0625,10.712482564117947,4.0,low
Generated_0002,generated,psychiatry,MD,5,2015,30,1.55,0.0542,3.6,-2.043,0.08,3266,Generated from learned patterns,0.16666666666666666,653.2,8.09132127353041,2.23606797749979,low
Generated_0003,generated,cardiology,MD,8,2011,10,45.72,0.2476,9.23,-1.814,0.394,628,Generated from learned patterns,0.8,78.5,6.4425401664681985,2.8284271247461903,moderate
Generated_0004,generated,infectious_disease,HR,19,2027,3,78.33,0.2754,99.25,0.647,0.311,614,Generated from learned patterns,6.333333333333333,32.31578947368421,6.419994928147142,4.358898943540674,high
Generated_0005,generated,oncology,OR,14,2017,6,35.46,0.1182,17.11,1.646,0.228,976,Generated from learned patterns,2.3333333333333335,69.71428571428571,6.883462586413092,3.7416573867739413,moderate
Generated_0006,generated,education,RR,92,2006,3,93.49,0.377,1536.95,0.955,0.32,1186,Generated from learned patterns,30.666666666666668,12.891304347826088,7.078341579557671,9.591663046625438,high
Generated_0007,generated,education,HR,18,2014,4,43.3,0.1004,24.77,1.271,0.137,1125,Generated from learned patterns,4.5,62.5,7.025538314638521,4.242640687119285,moderate
Generated_0008,generated,psychology,COR,7,2008,5,34.88,0.652,9.75,-0.006,0.113,1171,Generated from learned patterns,1.4,167.28571428571428,7.065613363597717,2.6457513110645907,moderate
Generated_0009,generated,cardiology,SMD,6,2006,7,6.33,0.0537,5.71,0.571,0.023,72755,Generated from learned patterns,0.8571428571428571,12125.833333333334,11.19485291119438,2.449489742783178,low
Generated_0010,generated,infectious_disease,HR,19,2006,19,34.96,0.0449,29.07,1.121,0.04,14595,Generated from learned patterns,1.0,768.1578947368421,9.588434283288215,4.358898943540674,moderate
Generated_0011,generated,cardiology,SMD,17,2011,4,79.32,0.667,118.44,0.13,0.322,1115,Generated from learned patterns,4.25,65.58823529411765,7.016609683894219,4.123105625617661,high
Generated_0012,generated,psychiatry,MD,5,2004,8,59.89,1.035,6.82,-2.383,0.168,3040,Generated from learned patterns,0.625,608.0,8.019612794400267,2.23606797749979,substantial
Generated_0013,generated,endocrinology,MD,6,2016,18,72.74,1.4946,12.98,1.821,0.332,600,Generated from learned patterns,0.3333333333333333,100.0,6.396929655216146,2.449489742783178,substantial
Generated_0014,generated,cardiology,MD,5,2006,13,13.19,0.2464,5.73,0.654,0.109,3266,Generated from learned patterns,0.38461538461538464,653.2,8.09132127353041,2.23606797749979,low
Generated_0015,generated,endocrinology,SMD,11,2014,3,26.86,0.1751,9.32,-0.428,0.163,738,Generated from learned patterns,3.6666666666666665,67.0909090909091,6.6039438246004725,3.3166247903554,moderate
Generated_0016,generated,psychology,SMD,20,2009,10,31.19,0.1096,27.45,0.034,0.034,26065,Generated from learned patterns,2.0,1303.25,10.168348697202207,4.47213595499958,moderate
Generated_0017,generated,psychiatry,OR,37,2007,8,26.93,0.0755,55.34,0.779,0.086,2233,Generated from learned patterns,4.625,60.351351351351354,7.711101251840158,6.082762530298219,moderate
Generated_0018,generated,oncology,MD,7,2014,3,61.6,0.8101,18.51,-3.098,0.692,100,Generated from learned patterns,2.3333333333333335,14.285714285714286,4.605170185988092,2.6457513110645907,substantial
Generated_0019,generated,gastroenterology,HR,13,2015,3,9.97,0.0436,18.25,0.898,0.023,28726,Generated from learned patterns,4.333333333333333,2209.6923076923076,10.265557914991769,3.605551275463989,low
Generated_0020,generated,endocrinology,RR,5,2011,21,12.45,0.0252,6.66,0.834,0.047,13159,Generated from learned patterns,0.23809523809523808,2631.8,9.48486121415014,2.23606797749979,low
Generated_0021,generated,infectious_disease,MD,17,2012,22,40.18,0.5118,29.33,-1.179,0.511,282,Generated from learned patterns,0.7727272727272727,16.58823529411765,5.641907070938114,4.123105625617661,moderate
Generated_0022,generated,infectious_disease,MD,15,2007,10,48.89,0.6517,24.73,0.361,0.243,1606,Generated from learned patterns,1.5,107.06666666666666,7.381501894506707,3.872983346207417,moderate
Generated_0023,generated,gastroenterology,OR,19,2005,4,26.23,0.0615,32.73,0.835,0.708,241,Generated from learned patterns,4.75,12.68421052631579,5.484796933490655,4.358898943540674,moderate
Generated_0024,generated,endocrinology,SMD,7,2011,16,5.52,0.0439,2.72,-0.192,0.015,45017,Generated from learned patterns,0.4375,6431.0,10.714795475190176,2.6457513110645907,low
Generated_0025,generated,infectious_disease,HR,12,2018,5,13.88,0.098,13.17,0.606,0.17,667,Generated from learned patterns,2.4,55.583333333333336,6.502790045915623,3.4641016151377544,low
Generated_0026,generated,infectious_disease,HR,11,2015,12,40.53,0.073,8.73,1.15,0.462,345,Generated from learned patterns,0.9166666666666666,31.363636363636363,5.84354441703136,3.3166247903554,moderate
Generated_0027,generated,psychology,RR,6,2009,5,71.35,0.1675,23.36,0.597,0.299,470,Generated from learned patterns,1.2,78.33333333333333,6.152732694704104,2.449489742783178,substantial
Generated_0028,generated,endocrinology,OR,7,2010,3,26.82,0.0324,4.65,0.976,0.037,24139,Generated from learned patterns,2.3333333333333335,3448.4285714285716,10.09158406877277,2.6457513110645907,moderate
Generated_0029,generated,cardiology,SMD,30,2001,19,42.4,0.1941,48.31,-0.8,0.179,1522,Generated from learned patterns,1.5789473684210527,50.733333333333334,7.3277805384216315,5.477225575051661,moderate
